Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Primary Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
2028-02-01,338.3974757981294,8.430700302124023,78.77825927734375,0.3265865842128924,3052450.0,0.24344560846441562,2657906.4719356555,0.0,595403.8960380964,419219.65096709906,2397393.3824243853,185592.7952243511,156125.23790466902,20417.00814225193,17070.253295381066,0.0,194.0,2811.8240936496413,8.0,1.0,635.4528482993001,0.0,0.0,0.0,0.0
2028-03-01,359.0492446770159,8.430700302124023,65.20773315429688,0.3588068048100387,3056838.0,0.21736715277834948,2959532.174670598,0.0,538004.5966878551,354242.76735487604,2670397.038703723,225996.8776052194,152409.50514470233,19397.28785695508,14409.878147649953,0.0,194.0,2422.6993333892365,6.0,2.0,844.6415694756688,0.0,0.0,0.0,0.0
2028-04-01,323.18554722846335,8.430700302124023,16.064167022705078,0.34108631600494843,3061226.0,0.17382152046914923,2780571.5808452736,0.0,413843.7743500163,240745.2901913444,2578728.1636902485,186860.5096266282,107809.20612839759,12613.685910000011,9783.146163125552,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-05-01,365.89823441568313,8.430700302124023,20.167322158813477,0.37293250043285264,3065614.0,0.2038829161380699,3320180.4164718958,0.0,343414.39601442585,168656.77246510156,2856165.8174413024,317052.21065854665,242332.1582301233,13433.764781924103,6853.6911175351825,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-06-01,384.62629666039305,8.430700302124023,26.682588577270508,0.3706269218142799,3070002.0,0.24815019001289748,3600334.616515395,0.0,283551.81629849045,116690.22306690313,2861012.53321917,410659.21222989616,417598.0224380843,16358.591828246146,4737.149394816093,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-07-01,394.76180640712465,8.430700302124023,24.06013298034668,0.38114954354943764,3074390.0,0.24702717256444207,3686218.0188904,0.0,301791.32119798096,128974.15549886564,2945075.469626574,417537.67444447835,418887.2341352762,13521.1753240711,5225.289591501386,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-08-01,390.8686741947617,8.430700302124023,23.148033142089844,0.37403006531129823,3078778.0,0.25334755846624735,3535179.606659862,0.0,383844.5350420099,207258.02966854593,2868169.16541214,390073.9978675146,372107.25619652314,13632.721823685319,8388.459808807895,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-09-01,343.504493433049,8.430700302124023,18.280275344848633,0.34302536975101466,3083166.0,0.21917078226644002,2942762.4226250346,0.0,460398.91838825645,285416.73871271167,2599296.845459041,258092.9445919314,178070.18457406093,12596.191200000008,11551.817052898004,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-10-01,337.47093977951477,8.430700302124023,16.113313674926758,0.3341944960941078,3087554.0,0.22444168214981863,2711164.9846866215,0.0,589484.8773281918,403687.6313052794,2499667.507235701,198479.12132160537,108677.07992931487,12998.569530000044,16305.871044838635,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-11-01,319.2860870287994,8.430700302124023,15.440628051757812,0.3171308432674386,3091942.0,0.22150791425188077,2501506.143059853,0.0,607559.1030595369,425845.32126083644,2361314.1796854376,146317.34424872854,86201.50709999862,12966.855225690953,17200.87104217467,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-12-01,335.37744684836565,8.430700302124023,88.47855377197266,0.32234033754414293,3096330.0,0.24553806278125964,2578116.682233898,0.0,675540.1561901554,485599.76275656075,2387811.2419240563,155012.33983712774,123529.03143901266,20365.1036737003,19594.831380609874,0.0,194.0,3803.728857251474,9.0,3.0,1093.154765902249,0.0,0.0,0.0,0.0
2029-01-01,372.2815587992466,8.568428993225098,416.5461730957031,0.2588774729591018,3100720.0,0.4493750911683416,2845189.6875562863,0.0,734911.9979372341,546897.9084395833,1880706.059245669,444302.25452378974,569415.4919674137,58508.43697436565,22012.87686393086,0.0,194.0,27243.54716426438,46.0,10.0,2169.0222223945693,0.0,0.0,0.0,0.0
2029-02-01,320.14546675993233,8.568428993225098,306.73046875,0.23504241350093208,3105108.0,0.42172955770193404,2544152.939478176,0.0,574022.243962088,408705.4354823464,1738125.4220232137,412715.0894821315,455377.56653555,35127.34939988027,16425.722627626084,0.0,194.0,15523.44166940204,30.0,6.0,1933.336644356904,0.0,0.0,0.0,0.0
2029-03-01,355.4097673706607,8.568428993225098,211.6440887451172,0.26509250733534084,3109496.0,0.4141169347745888,2970211.9882582887,0.0,537618.7027822278,359088.6814492491,1990132.28005338,485116.34035479015,570745.7865202312,32094.17334848148,14409.878147649953,0.0,194.0,17428.15244750464,20.0,4.0,2143.8955017798953,0.0,0.0,0.0,0.0
2029-04-01,319.9173443840554,8.568428993225098,28.696908950805664,0.25431127826480293,3113884.0,0.3779499289415387,2805274.3786972733,0.0,411820.69279439904,243792.2806357268,1952751.1999371313,467549.2740306732,474663.07437142846,15339.844868038716,9783.146163125552,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-05-01,362.2068969608809,8.568428993225098,205.3343048095703,0.2689085875296712,3118272.0,0.4155632392246747,3344046.4909951524,0.0,340574.771336144,171048.95578681934,2074300.7041284973,546249.4715561369,784304.5976799327,47151.517188550606,6853.6911175351825,0.0,194.0,4829.5597134488235,17.0,4.0,773.5745220743397,0.0,0.0,0.0,0.0
2029-06-01,380.75518948588706,8.568428993225098,760.239501953125,0.2648103224823531,3122660.0,0.4446193772681549,3603929.185994301,0.0,280380.61920205125,118582.065970464,2020738.5109034637,558002.354654086,1021687.3714127378,106515.07894632901,4737.149394816093,0.0,194.0,26795.034336819324,79.0,17.0,985.3218864825544,0.0,0.0,0.0,0.0
2029-07-01,390.7980865659881,8.568428993225098,639.11376953125,0.2720558004335898,3127048.0,0.44423397582670116,3704874.100499504,0.0,298386.7287857646,130801.37108664888,2085049.9047081275,571798.0316160118,1045887.1366661922,108959.342137953,5225.289591501386,0.0,194.0,12724.082131323397,67.0,21.0,804.9384636372715,0.0,0.0,0.0,0.0
2029-08-01,386.9533418533861,8.568428993225098,554.826904296875,0.26929590764037353,3131436.0,0.4461191606627511,3551943.9254723424,0.0,381652.9698977571,210298.27252429322,2054466.2614834253,543399.4794452029,967787.095256355,93264.12925802723,8388.459808807895,0.0,194.0,13166.424271001051,62.0,20.0,813.5691519101115,0.0,0.0,0.0,0.0
2029-09-01,340.07174031450745,8.568428993225098,87.671630859375,0.2515477343739241,3135824.0,0.41914529954243046,2966617.293944794,0.0,459956.7708155548,290037.6311400099,1927502.6331355176,473436.33683826367,638732.9925556509,31694.886605065327,11551.817052898004,0.0,194.0,999.8106902648624,6.0,3.0,451.4419793193979,0.0,0.0,0.0,0.0
2029-10-01,334.1354421293849,8.568428993225098,28.752796173095703,0.2482271186517969,3140212.0,0.4183021373026805,2735004.9095735117,0.0,590585.4891616162,410013.01913870353,1885637.4952954333,442957.30994994374,498386.724906015,16257.162752119168,16305.871044838635,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-01,316.110435349488,8.568428993225098,58.62360763549805,0.2364541562311912,3144600.0,0.4135225635279215,2520631.1702237083,0.0,610461.5519000439,433810.8101013432,1786740.2367673637,422572.55235067115,398596.8690952412,17527.722421019047,17200.87104217467,0.0,194.0,1024.9279276223529,4.0,2.0,918.564529080169,0.0,0.0,0.0,0.0
2029-12-01,332.0496140347312,8.568428993225098,216.1565399169922,0.24356940812773284,3148988.0,0.42265550722836415,2582796.0082712322,0.0,678895.7490346549,494187.16360106017,1819371.633135908,423165.7878137928,417417.72671988077,30682.26358534822,19594.831380609874,0.0,194.0,20084.80303779825,22.0,4.0,2393.4714790524313,0.0,0.0,0.0,0.0
2030-01-01,369.2919148925375,69.0081787109375,425.70648193359375,0.2549021920342744,3153378.0,0.45310983181350134,2867966.7559090117,0.0,743588.2650085395,555998.2555108886,1881978.7054691692,446431.98986383097,585545.4529173042,61229.89612168576,22012.87686393086,0.0,194.0,29788.828175143473,49.0,10.0,2246.7423489507273,0.0,0.0,0.0,0.0
2030-02-01,317.58199467598297,69.0081787109375,285.54351806640625,0.23128748038155195,3157766.0,0.4263236120513261,2564447.8655351023,0.0,581363.5742266233,416046.7657468818,1739032.9980873335,414757.4451185972,471856.23827392934,35976.80437524267,16425.722627626084,0.0,194.0,17139.599799030362,30.0,6.0,2008.1636953738498,0.0,0.0,0.0,0.0
2030-03-01,352.572210271859,69.0081787109375,199.26649475097656,0.2608586360366011,3162154.0,0.4187651834981389,2995056.0015091356,0.0,544029.8761566611,365499.8548236817,1991185.6427628705,487331.84893917455,591239.6815204482,33147.14068463563,14409.878147649953,0.0,194.0,18647.76222252602,21.0,4.0,2220.517345853985,0.0,0.0,0.0,0.0
2030-04-01,317.37061280096714,69.0081787109375,30.468852996826172,0.25020922695321374,3166542.0,0.38304351993148544,2830217.2182504693,0.0,416173.3629358968,248144.95077722456,1953903.900879001,471408.62007434847,493788.0179887649,16145.693818354555,9783.146163125552,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-05-01,359.3319231266537,69.0081787109375,215.57931518554688,0.2647568056049499,3170930.0,0.4194708661068531,3372938.007841443,0.0,343853.89303887734,174328.07748955244,2074758.4597368944,548058.7262000254,806850.7772545575,51123.95023154117,6853.6911175351825,0.0,194.0,5848.20256567347,22.0,6.0,838.4624241783467,0.0,0.0,0.0,0.0
2030-06-01,377.7418120011917,69.0081787109375,710.5897216796875,0.2611275546595168,3175318.0,0.44696825143069313,3632601.032466113,0.0,282291.0196660379,120492.46643445056,2020928.6564126883,558781.1886019706,1041573.057713797,114128.26883968656,4737.149394816093,0.0,194.0,31150.626677451695,88.0,18.0,1052.0764533838992,0.0,0.0,0.0,0.0
2030-07-01,387.7142650924331,69.0081787109375,595.363525390625,0.2682606837861096,3179706.0,0.4465309611874002,3734855.47877446,0.0,300679.78145748813,133094.42375837243,2085239.6316574584,572621.8404078067,1066113.6185712544,117396.02776119542,5225.289591501386,0.0,194.0,16359.059828484502,82.0,23.0,870.10285544298,0.0,0.0,0.0,0.0
2030-08-01,383.9087743640734,69.0081787109375,495.6517333984375,0.2654604194848916,3184094.0,0.4488032933618939,3580296.589195057,0.0,385615.412822259,214260.71544879512,2054986.3457425297,544171.6526086715,987873.3839283587,100037.21358384809,8388.459808807895,0.0,194.0,16457.851811781715,71.0,20.0,878.8096277890304,0.0,0.0,0.0,0.0
2030-09-01,337.40385707054327,69.0081787109375,90.97283935546875,0.24766291278861233,3188482.0,0.42321007103994873,2992615.6105304277,0.0,464979.33462179266,295060.1949462478,1928669.9906971725,475288.74836965464,658683.4650960151,34691.77672255346,11551.817052898004,0.0,194.0,1315.3489944747143,8.0,3.0,513.4901130073117,0.0,0.0,0.0,0.0
2030-10-01,331.6062821223539,69.0081787109375,32.80516052246094,0.24428813402486413,3192870.0,0.42311354613512425,2759118.0048713307,0.0,597642.0129594199,417069.5429365067,1886922.058162878,445186.69395850593,518014.7290457976,17215.17969615417,16305.871044838635,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
