Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Primary Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
2027-11-01,323.2689220553262,8.319756507873535,14.838349342346191,0.3220852865621881,3039284.0,0.2538241737533591,2490251.9878037143,0.0,602922.257625623,421208.4758269231,2356561.953874595,141561.8507384381,84489.91229858181,12932.014092101761,17200.87104217467,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-12-01,339.55266451181336,8.319756507873535,85.31681060791016,0.32735071279560046,3043672.0,0.277415284716939,2566939.0829018652,0.0,670186.474116963,480246.08068336896,2383006.7920035534,150457.9598208437,121881.73846883587,20193.627248635432,19594.831380609874,0.0,194.0,3511.6935403497428,9.0,3.0,1051.0924644386123,0.0,0.0,0.0,0.0
2028-01-01,376.11214109161824,8.43065357208252,65.87322998046875,0.3433731940582625,3048062.0,0.3261137369120872,2845333.373127313,0.0,732878.0833797631,540056.2658821122,2494353.8933843668,216253.8981486268,222588.10404839893,20814.005450316807,22012.87686393086,0.0,194.0,2715.5992957291355,5.0,2.0,869.9513166913575,0.0,0.0,0.0,0.0
2028-02-01,338.3974757981294,8.43065357208252,78.7789535522461,0.32658658421289266,3052450.0,0.28497000143210555,2657906.4719356555,0.0,595403.8960380964,419219.65096709906,2397393.3824243853,185592.7952243511,156125.23790466902,20417.00814225193,17070.253295381066,0.0,194.0,2811.8240936496413,8.0,1.0,635.4528482993001,0.0,0.0,0.0,0.0
2028-03-01,359.0492446770159,8.43065357208252,65.20851135253906,0.3588463618584761,3056838.0,0.26558160303744627,2959888.921456103,0.0,537646.6827002746,353884.8533672956,2670690.564356255,226033.26305458928,152433.73210619477,19399.896579064054,14409.878147649953,0.0,194.0,2423.8665354663453,6.0,2.0,844.7146011955601,0.0,0.0,0.0,0.0
2028-04-01,323.18554722846335,8.43065357208252,16.064167022705078,0.3411150641081672,3061226.0,0.22021314388096414,2780814.5756029407,0.0,413600.77959235,240502.2954336781,2578946.1637913,186880.78868338437,107813.92172825748,12613.685910000011,9783.146163125552,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-05-01,365.89823441568313,8.43065357208252,20.16764259338379,0.37293250043285264,3065614.0,0.2682480010129015,3320180.4164718958,0.0,343414.39601442585,168656.77246510156,2856165.8174413024,317052.21065854665,242332.1582301233,13433.764781924103,6853.6911175351825,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-06-01,384.62629666039305,8.43065357208252,26.68470001220703,0.37062692181427986,3070002.0,0.32100880715325,3600334.616515395,0.0,283551.81629849045,116690.22306690313,2861012.53321917,410659.21222989616,417598.0224380843,16358.591828246146,4737.149394816093,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-07-01,394.76180640712465,8.43065357208252,24.06049156188965,0.3811585539055765,3074390.0,0.3193447730225333,3686347.8051534533,0.0,301661.53493492695,128844.36923581165,2945145.285278946,417570.6564456897,418914.2227447469,13521.1753240711,5225.289591501386,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-08-01,390.8686741947617,8.43065357208252,23.148405075073242,0.37404751276150666,3078778.0,0.32185605932463945,3535387.9600588945,0.0,383636.1816429778,207049.67626951382,2868303.345806975,390111.30882412056,372144.1182441143,13632.721823685319,8388.459808807895,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-09-01,343.504493433049,8.43065357208252,18.280275344848633,0.3429929062244499,3083166.0,0.27516442485559034,2942475.4974437477,0.0,460685.84356954345,285703.66389399866,2599050.100418049,258063.18023830224,178059.76878739684,12596.191200000008,11551.817052898004,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-10-01,337.47093977951477,8.43065357208252,16.113313674926758,0.33424339418292404,3087554.0,0.2691107548387954,2711556.9502692814,0.0,589079.8704820923,403282.62445917993,2500024.516984745,198506.28398332876,108684.87310120763,12998.569530000044,16305.871044838635,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
