region,year,category,subcategory,scenario,annual_consumption
SA,2016,OperationalGen,,Actual,13410.845
SA,2016,SmallNonScheduledGeneration,ONSG generation,Actual,94.73727
SA,2016,SmallNonScheduledGeneration,PVNSG generation,Actual,4.3037553
TAS,2016,AuxiliaryLoads,,Actual,108.7842
TAS,2016,Losses,Distribution losses,Actual,170.77962
TAS,2016,Losses,Transmission losses,Actual,299.56085
TAS,2016,Native,Native,Actual,10384.836
TAS,2016,Operational,,Actual,9963.133
TAS,2016,OperationalGen,,Actual,10071.917
TAS,2016,SmallNonScheduledGeneration,ONSG generation,Actual,421.44165
TAS,2016,SmallNonScheduledGeneration,PVNSG generation,Actual,0.2609983
VIC,2016,AuxiliaryLoads,,Actual,4064.5188
VIC,2016,Losses,Distribution losses,Actual,1938.9287
VIC,2016,Losses,Transmission losses,Actual,1075.9929
VIC,2016,Native,Native,Actual,43872.31
VIC,2016,Operational,,Actual,43039.72
VIC,2016,OperationalGen,,Actual,47104.24
VIC,2016,SmallNonScheduledGeneration,ONSG generation,Actual,810.4709
VIC,2016,SmallNonScheduledGeneration,PVNSG generation,Actual,22.117876
NEM,2017,AuxiliaryLoads,,Actual,11187.13
NEM,2017,Losses,Distribution losses,Actual,7022.301
NEM,2017,Losses,Transmission losses,Actual,4541.0874
NEM,2017,Native,Native,Actual,188475.9
NEM,2017,Operational,,Actual,183385.58
NEM,2017,OperationalGen,,Actual,194572.72
NEM,2017,SmallNonScheduledGeneration,ONSG generation,Actual,4821.297
NEM,2017,SmallNonScheduledGeneration,PVNSG generation,Actual,269.02573
NSW,2017,AuxiliaryLoads,,Actual,3014.5305
NSW,2017,Losses,Distribution losses,Actual,2598.8716
NSW,2017,Losses,Transmission losses,Actual,1566.0814
NSW,2017,Native,Native,Actual,70140.94
NSW,2017,Operational,,Actual,68352.18
NSW,2017,OperationalGen,,Actual,71366.7
NSW,2017,SmallNonScheduledGeneration,ONSG generation,Actual,1619.5623
NSW,2017,SmallNonScheduledGeneration,PVNSG generation,Actual,169.19641
QLD,2017,AuxiliaryLoads,,Actual,3973.321
QLD,2017,Losses,Distribution losses,Actual,1614.2852
QLD,2017,Losses,Transmission losses,Actual,1319.7673
QLD,2017,Native,Native,Actual,53073.285
QLD,2017,Operational,,Actual,51186.4
QLD,2017,OperationalGen,,Actual,55159.72
QLD,2017,SmallNonScheduledGeneration,ONSG generation,Actual,1836.5225
QLD,2017,SmallNonScheduledGeneration,PVNSG generation,Actual,50.364838
SA,2017,AuxiliaryLoads,,Actual,265.21054
SA,2017,Losses,Distribution losses,Actual,713.2911
SA,2017,Losses,Transmission losses,Actual,325.25793
SA,2017,Native,Native,Actual,12522.7
SA,2017,Operational,,Actual,12422.912
SA,2017,OperationalGen,,Actual,12688.122
SA,2017,SmallNonScheduledGeneration,ONSG generation,Actual,78.40162
SA,2017,SmallNonScheduledGeneration,PVNSG generation,Actual,21.386486
TAS,2017,AuxiliaryLoads,,Actual,111.823715
TAS,2017,Losses,Distribution losses,Actual,192.87561
TAS,2017,Losses,Transmission losses,Actual,246.45328
TAS,2017,Native,Native,Actual,10437.387
TAS,2017,Operational,,Actual,10014.024
TAS,2017,OperationalGen,,Actual,10125.848
TAS,2017,SmallNonScheduledGeneration,ONSG generation,Actual,423.0241
TAS,2017,SmallNonScheduledGeneration,PVNSG generation,Actual,0.33823743
VIC,2017,AuxiliaryLoads,,Actual,3822.2441
VIC,2017,Losses,Distribution losses,Actual,1902.9775
VIC,2017,Losses,Transmission losses,Actual,1083.5277
VIC,2017,Native,Native,Actual,42301.598
VIC,2017,Operational,,Actual,41410.074
VIC,2017,OperationalGen,,Actual,45232.316
VIC,2017,SmallNonScheduledGeneration,ONSG generation,Actual,863.7866
VIC,2017,SmallNonScheduledGeneration,PVNSG generation,Actual,27.73975
NEM,2018,AuxiliaryLoads,,Actual,10784.386
NEM,2018,Losses,Distribution losses,Actual,7067.121
NEM,2018,Losses,Transmission losses,Actual,4543.0757
NEM,2018,Native,Native,Actual,188869.78
NEM,2018,Operational,,Actual,183436
NEM,2018,OperationalGen,,Actual,194220.39
NEM,2018,SmallNonScheduledGeneration,ONSG generation,Actual,4860.289
NEM,2018,SmallNonScheduledGeneration,PVNSG generation,Actual,573.4876
NSW,2018,AuxiliaryLoads,,Actual,3104.774
NSW,2018,Losses,Distribution losses,Actual,2659.921
NSW,2018,Losses,Transmission losses,Actual,1555.3419
NSW,2018,Native,Native,Actual,69795.76
NSW,2018,Operational,,Actual,67898.914
NSW,2018,OperationalGen,,Actual,71003.69
NSW,2018,SmallNonScheduledGeneration,ONSG generation,Actual,1643.173
NSW,2018,SmallNonScheduledGeneration,PVNSG generation,Actual,253.66872
QLD,2018,AuxiliaryLoads,,Actual,4094.854
QLD,2018,Losses,Distribution losses,Actual,1606.3188
QLD,2018,Losses,Transmission losses,Actual,1300.5919
QLD,2018,Native,Native,Actual,52446.355
QLD,2018,Operational,,Actual,50442.816
QLD,2018,OperationalGen,,Actual,54537.67
QLD,2018,SmallNonScheduledGeneration,ONSG generation,Actual,1796.26
QLD,2018,SmallNonScheduledGeneration,PVNSG generation,Actual,207.27798
SA,2018,AuxiliaryLoads,,Actual,317.22018
SA,2018,Losses,Distribution losses,Actual,669.4069
SA,2018,Losses,Transmission losses,Actual,320.41562
SA,2018,Native,Native,Actual,12367.8125
SA,2018,Operational,,Actual,12237.965
SA,2018,OperationalGen,,Actual,12555.185
SA,2018,SmallNonScheduledGeneration,ONSG generation,Actual,71.71533
SA,2018,SmallNonScheduledGeneration,PVNSG generation,Actual,58.132835
TAS,2018,AuxiliaryLoads,,Actual,121.87108
TAS,2018,Losses,Distribution losses,Actual,237.24535
TAS,2018,Losses,Transmission losses,Actual,255.43102
TAS,2018,Native,Native,Actual,10813.037
TAS,2018,Operational,,Actual,10385.018
TAS,2018,OperationalGen,,Actual,10506.889
TAS,2018,SmallNonScheduledGeneration,ONSG generation,Actual,421.91687
TAS,2018,SmallNonScheduledGeneration,PVNSG generation,Actual,6.1021113
VIC,2018,AuxiliaryLoads,,Actual,3145.666
VIC,2018,Losses,Distribution losses,Actual,1894.229
VIC,2018,Losses,Transmission losses,Actual,1111.2953
