id,casestudy_area,casestudy_area_code,date,organisation_tariff_name,First_20_units(d/unit),After_20_units(d/unit),Light_(flat_d/unit),Power_(flat)_(d/unit),Light_max_demand_(d/unit),Power_max_demand_(d/unit),LightFirst1000Units_(d/unit),LightSecond1000Units_per_month_(d/unit),LightThird1000Units_per_month_(d/unit),LigthOver3000Units_per_month_(d/unit),PowerAndHeat_(d/unit),PowerAndHeat75hoursPeak_(d/unit),PoweAndHeatOver75peak_(d/unit),Charge_per_room_per_month,"Residential_3_rooms_or_less_""GB""/""GD""/""GR""_First_X_units_per_qu","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Next_X_units_per_qua","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Balance_units_per_qu",First_1200_kwhquarter_Tariff_J_(c/kWh),Balance_kWh_per_quarter_Tariff_J_(c/kWh),"I_J_/""GD""/""GR""_Minimum_charge__($/per_quarter)_1982",YandJ_Water_and_space_heating_1984,Energy_charge_per_unit_(d_or_c_/_kwh),Standing_charge_($/year),TUoS Block_1_(c/kWh),TUoS Block_2_(c/kWh),TUoS Summer_peak_(c/kWh),TUoS Summer_shoulder_(c/kWh) ,TUoS Winter_peak_(c/kWh),TUoS Average_(c/kWh),Network_charges Block_1/peak_(c/kWh),Extras_(summer_export),Premium_FiT,average_dckwh
1090,Rupanyup,NM,1924-01-01,1924RUPANYUP,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1091,Sale,NM,1924-01-01,1924SALE,,,9,7.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.833333333
1092,Sealake,NM,1924-01-01,1924SEALAKE,,,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
1093,Seymour,NM,1924-01-01,1924SEYMOUR,,,10,5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6.166666667
1094,Shepparton,NM,1924-01-01,1924SHEPPARTON,,,10.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1095,Sorrento,NM,1924-01-01,1924SORRENTO,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1096,Stawell,NM,1924-01-01,1924STAWELL,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1097,Sunbury,NM,1924-01-01,1924SUNBURY,,,15,6,10,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,8
1098,Sunshine,NM,1924-01-01,1924SUNSHINE,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
1099,Swanhill,NM,1924-01-01,1924SWANHILL,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1100,Tatura,NM,1924-01-01,1924TATURA,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1101,Terang,NM,1924-01-01,1924TERANG,,,14,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1102,Toora,NM,1924-01-01,1924TOORA,,,10,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1103,Trafalgar,NM,1924-01-01,1924TRAFALGAR,,,12,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1104,Taralgon,NM,1924-01-01,1924TARALGON,,,8,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4.666666667
1105,Trentham,NM,1924-01-01,1924TRENTHAM,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1106,Upwey,NM,1924-01-01,1924UPWEY,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1107,Wabgunyah,NM,1924-01-01,1924WABGUNYAH,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1108,Wangaratta,NM,1924-01-01,1924WANGARATTA,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1109,Warburton,NM,1924-01-01,1924WARBURTON,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1110,Wahgunyah,NM,1924-01-01,1924WAHGUNYAH,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1111,Warragul,NM,1924-01-01,1924WARRAGUL,,,8,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
1112,Warrnambool,NM,1924-01-01,1924WARRNAMBOOL,,,9,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
1113,Werribee,NM,1924-01-01,1924WERRIBEE,,,12,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1114,Williamstown,NM,1924-01-01,1924WILLIAMSTOWN,,,5.5,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
1115,Wodonga,NM,1924-01-01,Wodonga,,,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1116,Woodend,NM,1924-01-01,1924WOODEND,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1117,Wycheproof,NM,1924-01-01,1924WYCHEPROOF,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1118,Yarragon,NM,1924-01-01,1924YARRAGON,,,12,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1119,Yarram,NM,1924-01-01,1924YARRAM,,,9,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
1120,Yarrawonga,NM,1924-01-01,1924YARRAWONGA,,,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1121,Melbourne,M,1925-01-01,Corporation of the City of Melbourne,,,3.5,1.75,6,2,2,1.5,,,0.6,0.35,,,,,,,,,,,,,,,,,,,,,2.2125
1122,Metro,M,1925-01-01,Melbourne Electric Supply Co. Ltd.,,,3.75,2.5,,0.8,,3,2.5,2,,,,,,,,,,,,,,,,,,,,,,,2.425
1123,Alexandra,NM,1925-01-01,1925ALEXANDRA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1124,Ararat,NM,1925-01-01,1925ARARAT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1125,Bairnsdale,NM,1925-01-01,1925BAIRNSDALE,,,9,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
1126,Bacchusmarsh,NM,1925-01-01,1925BACCHUSMARSH,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1127,Beeac,NM,1925-01-01,1925BEEAC,,,12,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1128,Belgrave,NM,1925-01-01,1925BELGRAVE,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1129,Ballarat,NM,1925-01-01,Electric Supply Company of Victoria Limited,,,9,3.5,9,1.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.6
1130,Bendigo,NM,1925-01-01,Electric Supply Company of Victoria Limited,,,9,4,9,1.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.7
1131,Karkarooc,NM,1925-01-01,1925KARKAROOC,,,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
1132,Beaufort,NM,1925-01-01,1925BEAUFORT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1133,Birchip,NM,1925-01-01,1925BIRCHIP,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1134,Bellarinemesco,NM,1925-01-01,1925BELLARINEMESCO,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1135,Benalla,NM,1925-01-01,1925BENALLA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1136,Boxhill,M,1925-01-01,1925BOXHILL,,,6,2.5,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
1137,Braybrook,NM,1925-01-01,1925BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
1138,Bright,M,1925-01-01,1925BRIGHT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1139,Broadmeadows,M,1925-01-01,1925BROADMEADOWS,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1140,Brunswick,M,1925-01-01,1925BRUNSWICK,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1141,Boort,NM,1925-01-01,1925BOORT,,,12,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25
1142,Camperdown,NM,1925-01-01,1925CAMPERDOWN,,,12,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333
1143,Castlemaine,NM,1925-01-01,1925CASTLEMAINE,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1144,Casterton,NM,1925-01-01,1925CASTERTON,,,12,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75
1145,Carrum,NM,1925-01-01,1925CARRUM,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1146,Charlton,NM,1925-01-01,1925CHARLTON,,,12,4.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1147,Cobram,NM,1925-01-01,1925COBRAM,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1148,Coburg,M,1925-01-01,1925COBURG,,,6,2.5,4,1.75,,6.5,,,2.75,,,,,,,,,,,,,,,,,,,,,,3.916666667
1149,Colac,NM,1925-01-01,1925COLAC,,,8,4,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,4.25
1150,Cohuna,NM,1925-01-01,1925COHUNA,,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1151,Coleraine,NM,1925-01-01,1925COLERAINE,,,14,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1152,Cororooke,NM,1925-01-01,1925COROROOKE,,,12,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333
1153,Dandenong,NM,1925-01-01,1925DANDENONG,,,9,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1154,Dimboola,NM,1925-01-01,1925DIMBOOLA,,,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1155,Daylesford,NM,1925-01-01,1925DAYLESFORD,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1156,Donald,NM,1925-01-01,1925DONALD,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1157,Doncaster,NM,1925-01-01,1925DONCASTER,,,9,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
1158,Drouin,NM,1925-01-01,1925DROUIN,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
1159,Drysdale,NM,1925-01-01,1925DRYSDALE,,,12,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666667
1160,Echuca,NM,1925-01-01,1925ECHUCA,,,18,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
1161,Eaglehawk,NM,1925-01-01,1925EAGLEHAWK,,,9,5.5,,1.5,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,5.125
1162,Elmore,NM,1925-01-01,1925ELMORE,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1163,Euroa,NM,1925-01-01,1925EUROA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1164,Essendon,M,1925-01-01,1925ESSENDON,,,5.75,3.75,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
1165,Frankston,NM,1925-01-01,1925FRANKSTON,,,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1166,Footscrays,M,1925-01-01,1925FOOTS,,,5,2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,2.5
1167,Ferntreegully,NM,1925-01-01,1925FERNTREEGULLY,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1168,Foster,NM,1925-01-01,1925FOSTER,,,10,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1169,Gisborne,NM,1925-01-01,1925GISBORNE,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1170,Scalemescogeel,M,1925-01-01,1925SCALEMESCOGEEL,,,10,4.5,4,1,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,5.6
1171,Scalehamilton,NM,1925-01-01,1925SCALEHAMILTON,,,10,6,8,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6875
1172,Healesville,NM,1925-01-01,1925HEALESVILLE,,,10,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
1173,Heathcote,NM,1925-01-01,1925HEATHCOTE,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1174,Heyfield,NM,1925-01-01,1925HEYFIELD,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1175,Heidelberg,NM,1925-01-01,1925HEIDELBERG,,,5.5,2.5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
1176,Hepburn,NM,1925-01-01,1925HEPBURN,,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
1177,Cobden,NM,1925-01-01,1925COBDEN,,,15,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7.666666667
1178,Hopetoun,NM,1925-01-01,1925HOPETOUN,,,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
1179,Horsham,NM,1925-01-01,1925HORSHAM,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1180,Inglewood,NM,1925-01-01,1925INGLEWOOD,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1181,Jeparit,NM,1925-01-01,1925JEPARIT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1182,Kaniva,NM,1925-01-01,1925KANIVA,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1183,Kerang,NM,1925-01-01,1925KERANG,,,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333
1184,Kilmore,NM,1925-01-01,1925KILMORE,,,12,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333
1185,Koroit,NM,1925-01-01,1925KOROIT,,,10,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333
1186,Kyneton,NM,1925-01-01,1925KYNETON,,,12,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7.333333333
1187,Korrumburra,NM,1925-01-01,1925KORRUMBURRA,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1188,Korong,NM,1925-01-01,1925KORONG,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1189,Kyabram,NM,1925-01-01,1925KYABRAM,,,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1190,Leon,NM,1925-01-01,1925LEON,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1191,Lilydale,NM,1925-01-01,1925LILYDALE,,,12,4,7,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,5.6
1192,Winchelsea,NM,1925-01-01,1925WINCHELSEA,,,54,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5
1193,Maffra,NM,1925-01-01,1925MAFFRA,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1194,Mansfield,NM,1925-01-01,1925MANSFIELD,,,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
1195,Maryborough,M,1925-01-01,1925MARYBOROUGH,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1196,Mildura,NM,1925-01-01,1925MILDURA,,,12,6,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7.833333333
1197,Minyip,NM,1925-01-01,1925MINYIP,,,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
1198,Moe,NM,1925-01-01,1925MOE,,,12,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1199,Mornington,NM,1925-01-01,1925MORNINGTON,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1200,Mortlake,NM,1925-01-01,1925MORTLAKE,,,12,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666667
1201,Morwell,NM,1925-01-01,1925MORWELL,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1202,Mooroopna,NM,1925-01-01,1925MOOROOPNA,,,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1203,Murtoa,NM,1925-01-01,1925MURTOA,,,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
1204,Murrayville,NM,1925-01-01,1925MURRAYVILLE,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1205,Goulburn,NM,1925-01-01,1925GOULBURN,,,10,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1206,Nathalia,NM,1925-01-01,1925NATHALIA,,,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1207,Nhill,NM,1925-01-01,1925NHILL,,,15,9,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1208,Northcote,M,1925-01-01,1925NORTHCOTE,,,4.5,2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.666666667
1209,Numurkah,NM,1925-01-01,1925NUMURKAH,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1210,Nunawading,NM,1925-01-01,1925NUNAWADING,,,6,2.5,,1.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,3
1211,Orbost,NM,1925-01-01,1925ORBOST,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1212,Ouyen,NM,1925-01-01,1925OUYEN,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1213,Pointlonsdale,NM,1925-01-01,1925POINTLONSDALE,,,10,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666667
1214,Portarlington,NM,1925-01-01,1925PORTARLINGTON,,,10,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666667
1215,Portmelbourne,M,1925-01-01,1925PORTMELBOURNE,,,5,2,,1.25,,,,,1.75,1.5,,,,,,,,,,,,,,,,,,,,,2.3
1216,Portsea,NM,1925-01-01,1925PORTSEA,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1217,Preston,M,1925-01-01,1925PRESTON,,,6,3,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.416666667
1218,Queenscliff,NM,1925-01-01,1925QUEENSCLIFF,,,10,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
1219,Rainbow,NM,1925-01-01,1925RAINBOW,,,12,12,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,10.66666667
1220,Riverlatrobehydro,NM,1925-01-01,1925RIVERLATROBEHYDRO,,,8,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
1221,Rochester,NM,1925-01-01,1925ROCHESTER,,,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
1222,Rushworth,NM,1925-01-01,1925RUSHWORTH,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1223,Rutherglen,NM,1925-01-01,1925RUTHERGLEN,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1224,Rupanyup,NM,1925-01-01,1925RUPANYUP,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1225,Sale,NM,1925-01-01,1925SALE,,,9,7.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.833333333
1226,Sealake,NM,1925-01-01,1925SEALAKE,,,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
1227,Seymour,NM,1925-01-01,1925SEYMOUR,,,10,5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6.166666667
1228,Shepparton,NM,1925-01-01,1925SHEPPARTON,,,10.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1229,Sorrento,NM,1925-01-01,1925SORRENTO,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1230,Stawell,NM,1925-01-01,1925STAWELL,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1231,Sunbury,NM,1925-01-01,1925SUNBURY,,,15,6,10,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,8
1232,Sunshine,NM,1925-01-01,1925SUNSHINE,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
1233,Swanhill,NM,1925-01-01,1925SWANHILL,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1234,Tatura,NM,1925-01-01,1925TATURA,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1235,Terang,NM,1925-01-01,1925TERANG,,,14,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1236,Toora,NM,1925-01-01,1925TOORA,,,10,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1237,Trafalgar,NM,1925-01-01,1925TRAFALGAR,,,12,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1238,Taralgon,NM,1925-01-01,1925TARALGON,,,8,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4.666666667
1239,Trentham,NM,1925-01-01,1925TRENTHAM,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1240,Upwey,NM,1925-01-01,1925UPWEY,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1241,Violet,NM,1925-01-01,1925VIOLET,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1242,Wabgunyah,NM,1925-01-01,1925WABGUNYAH,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1243,Wangaratta,NM,1925-01-01,1925WANGARATTA,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1244,Warburton,NM,1925-01-01,1925WARBURTON,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1245,Wahgunyah,NM,1925-01-01,1925WAHGUNYAH,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
1246,Warragul,NM,1925-01-01,1925WARRAGUL,,,8,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
1247,Warrnambool,NM,1925-01-01,1925WARRNAMBOOL,,,9,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
1248,Werribee,NM,1925-01-01,1925WERRIBEE,,,12,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1249,Williamstown,NM,1925-01-01,1925WILLIAMSTOWN,,,5.5,4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
1250,Wodonga,NM,1925-01-01,Wodonga,,,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1251,Woodend,NM,1925-01-01,1925WOODEND,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1252,Wycheproof,NM,1925-01-01,1925WYCHEPROOF,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
1253,Yarragon,NM,1925-01-01,1925YARRAGON,,,12,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1254,Yarram,NM,1925-01-01,1925YARRAM,,,9,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
1255,Yarrawonga,NM,1925-01-01,1925YARRAWONGA,,,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1256,Melbourne,M,1926-01-01,Corporation of the City of Melbourne,,,3.5,1.75,6,2,2,1.5,,,0.6,0.35,,,,,,,,,,,,,,,,,,,,,2.2125
1257,Metro,M,1926-01-01,Melbourne Electric Supply Co. Ltd.,,,3.75,2.5,,0.8,,3,2.5,2,,,,,,,,,,,,,,,,,,,,,,,2.425
1258,Alexandra,NM,1926-01-01,1926ALEXANDRA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1259,Ararat,NM,1926-01-01,1926ARARAT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1260,Avoca,NM,1926-01-01,1926AVOCA,,,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1261,Bairnsdale,NM,1926-01-01,1926BAIRNSDALE,,,9,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
1262,Bacchusmarsh,NM,1926-01-01,1926BACCHUSMARSH,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1263,Beeac,NM,1926-01-01,1926BEEAC,,,12,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1264,Belgrave,NM,1926-01-01,1926BELGRAVE,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1265,Ballarat,NM,1926-01-01,Electric Supply Company of Victoria Limited,,,9,3.5,9,1.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.6
1266,Bendigo,NM,1926-01-01,Electric Supply Company of Victoria Limited,,,9,4,9,1.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.7
1267,Karkarooc,NM,1926-01-01,1926KARKAROOC,,,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
1268,Beaufort,NM,1926-01-01,1926BEAUFORT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1269,Beechworth,NM,1926-01-01,1926BEECHWORTH,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1270,Birchip,NM,1926-01-01,1926BIRCHIP,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1271,Bellarinemesco,NM,1926-01-01,1926BELLARINEMESCO,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1272,Benalla,NM,1926-01-01,1926BENALLA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1273,Boxhill,M,1926-01-01,1926BOXHILL,,,6,2.5,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
1274,Braybrook,NM,1926-01-01,1926BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
1275,Bright,M,1926-01-01,1926BRIGHT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1276,Broadmeadows,M,1926-01-01,1926BROADMEADOWS,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1277,Broadford,NM,1926-01-01,1926BROADFORD,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1278,Brunswick,M,1926-01-01,1926BRUNSWICK,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1279,Boort,NM,1926-01-01,1926BOORT,,,12,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25
1280,Camperdown,NM,1926-01-01,1926CAMPERDOWN,,,12,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333
1281,Castlemaine,NM,1926-01-01,1926CASTLEMAINE,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1282,Casterton,NM,1926-01-01,1926CASTERTON,,,12,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75
1283,Carrum,NM,1926-01-01,1926CARRUM,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1284,Charlton,NM,1926-01-01,1926CHARLTON,,,12,4.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
1285,Cobram,NM,1926-01-01,1926COBRAM,,,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
1286,Coburg,M,1926-01-01,1926COBURG,,,6,2.5,4,1.75,,6.5,,,2.75,,,,,,,,,,,,,,,,,,,,,,3.916666667
