C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,NEMMCO,PUBLIC,2012/01/09,12:10:29,0000000234000629,,0000000234000625
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/06 00:00:00",NSW1,158927.837777,145742.83258709,0.917
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/06 00:00:00",QLD1,143007.12189638,115845.55940527,0.8101
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/06 00:00:00",SA1,35052.064983,21005.99333545,0.5993
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/06 00:00:00",TAS1,29684.1342315,4554.3121367,0.1534
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/06 00:00:00",VIC1,155801.374589,195381.89729351,1.254
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/07 00:00:00",NEM,529464.19358326,490600.89504347,0.9266
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/07 00:00:00",NSW1,163489.24955801,153381.54929984,0.9382
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/07 00:00:00",QLD1,143577.67659376,116197.67255349,0.8093
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/07 00:00:00",SA1,35519.17765299,23173.82018484,0.6524
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/07 00:00:00",TAS1,29947.3462115,4352.04726305,0.1453
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/07 00:00:00",VIC1,156930.743567,193495.80574225,1.233
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/08 00:00:00",NEM,540402.92590052,486078.75407881,0.8995
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/08 00:00:00",NSW1,163216.934821,153623.10527917,0.9412
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/08 00:00:00",QLD1,150539.777612,121927.38267199,0.8099
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/08 00:00:00",SA1,38489.331622,22013.64054841,0.5719
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/08 00:00:00",TAS1,32108.0816535,4515.71133467,0.1406
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/08 00:00:00",VIC1,156048.80019202,183998.91424457,1.1791
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/09 00:00:00",NEM,539213.54314151,495000.64850184,0.918
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/09 00:00:00",NSW1,172918.567225,160294.09803306,0.927
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/09 00:00:00",QLD1,148291.37267201,122265.49359977,0.8245
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/09 00:00:00",SA1,35590.96196301,23193.90826851,0.6517
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/09 00:00:00",TAS1,31637.5823805,4450.56745638,0.1407
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/09 00:00:00",VIC1,150775.05890099,184796.58114412,1.2256
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/10 00:00:00",NEM,491020.02257135,462956.49541539,0.9428
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/10 00:00:00",NSW1,153414.96858501,144582.9561848,0.9424
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/10 00:00:00",QLD1,142589.93517282,117959.96141506,0.8273
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/10 00:00:00",SA1,32939.70976,19065.75196561,0.5788
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/10 00:00:00",TAS1,27962.0538055,4403.11806158,0.1575
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/10 00:00:00",VIC1,134113.35524802,176944.70778834,1.3194
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/11 00:00:00",NEM,471175.10128348,442447.08756589,0.939
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/11 00:00:00",NSW1,139719.864877,131218.36986282,0.9392
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/11 00:00:00",QLD1,142776.28237,118474.49561637,0.8298
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/11 00:00:00",SA1,30273.81801,17169.58838016,0.5671
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/11 00:00:00",TAS1,24653.5129595,3904.05028579,0.1584
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/11 00:00:00",VIC1,133751.62306698,171680.58342075,1.2836
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/12 00:00:00",NEM,532314.20459066,488500.85539209,0.9177
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/12 00:00:00",NSW1,170187.99777699,155215.35071021,0.912
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/12 00:00:00",QLD1,155904.91260568,127691.76291591,0.819
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/12 00:00:00",SA1,33477.34339,20290.30972154,0.6061
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/12 00:00:00",TAS1,28653.092703,4192.27552212,0.1463
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/12 00:00:00",VIC1,144090.85811499,181111.15652231,1.2569
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/13 00:00:00",NEM,529102.5471902,485981.86397343,0.9185
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/13 00:00:00",NSW1,168412.61625701,153106.08757485,0.9091
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/13 00:00:00",QLD1,153515.87954969,125473.0217239,0.8173
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/13 00:00:00",SA1,32584.66297399,20198.10055193,0.6199
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/13 00:00:00",TAS1,28189.0765655,4478.24587853,0.1589
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/13 00:00:00",VIC1,146400.31184401,182726.40824422,1.2481
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/14 00:00:00",NEM,525521.52904499,480764.37602718,0.9148
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/14 00:00:00",NSW1,165819.144118,149687.36112443,0.9027
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/14 00:00:00",QLD1,151590.882591,123963.26635951,0.8177
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/14 00:00:00",SA1,36084.901544,20641.11986257,0.572
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/14 00:00:00",TAS1,27526.691379,4490.8264617,0.1631
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/14 00:00:00",VIC1,144499.90941299,181981.80221897,1.2594
