C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR_2014_PT1,AEMO,PUBLIC,2015/01/05,12:00:47,0000000257828796,,0000000257828790
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/30 00:00:00",QLD1,133821.89852241,114148.57761296,0.8530
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/30 00:00:00",SA1,25224.015973,16887.75210429,0.6695
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/30 00:00:00",TAS1,43384.478827,2071.87738385,0.0478
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/30 00:00:00",VIC1,135458.415382,157553.49390114,1.1631
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/01 00:00:00",NEM,510832.028658,448077.65344505,0.8772
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/01 00:00:00",NSW1,168537.746623,155817.71925157,0.9245
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/01 00:00:00",QLD1,135714.17487098,117407.27288338,0.8651
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/01 00:00:00",SA1,29457.191842,16582.76306575,0.5629
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/01 00:00:00",TAS1,44814.359423,2088.54023502,0.0466
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/01 00:00:00",VIC1,132308.55589902,156181.35800933,1.1804
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/02 00:00:00",NEM,516115.62070199,437443.63866224,0.8476
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/02 00:00:00",NSW1,166898.436468,154788.00482230,0.9274
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/02 00:00:00",QLD1,136167.75901801,116359.07009275,0.8545
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/02 00:00:00",SA1,37844.06221999,13612.95966558,0.3597
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/02 00:00:00",TAS1,45325.155416,2089.38184794,0.0461
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/02 00:00:00",VIC1,129880.20757999,150594.22223367,1.1595
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/03 00:00:00",NEM,473990.93140001,409354.27928324,0.8636
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/03 00:00:00",NSW1,151409.28405301,141776.84648855,0.9364
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/03 00:00:00",QLD1,124904.199674,105292.31139135,0.8430
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/03 00:00:00",SA1,33754.505684,13384.72260918,0.3965
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/03 00:00:00",TAS1,41527.600541,2076.84698492,0.05
D,CO2EII,PUBLISHING,1,2014,18,"2014/05/03 00:00:00",VIC1,122395.341448,146823.55180924,1.1996
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/04 00:00:00",NEM,465523.64215992,414067.47244923,0.8895
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/04 00:00:00",NSW1,152361.979568,139212.56556012,0.9137
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/04 00:00:00",QLD1,123443.88551790,104249.45632989,0.8445
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/04 00:00:00",SA1,21032.137549,15034.75014633,0.7148
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/04 00:00:00",TAS1,42830.767570,2057.29290746,0.0480
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/04 00:00:00",VIC1,125854.87195502,153513.40750543,1.2198
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/05 00:00:00",NEM,518852.354899,454196.06761723,0.8754
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/05 00:00:00",NSW1,176915.558301,160132.66116983,0.9051
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/05 00:00:00",QLD1,132635.123924,111580.67508586,0.8413
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/05 00:00:00",SA1,26215.112199,18356.93501449,0.7002
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/05 00:00:00",TAS1,44955.403610,2086.20232790,0.0464
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/05 00:00:00",VIC1,138131.156865,162039.59401915,1.1731
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/06 00:00:00",NEM,520665.93311602,453561.60153804,0.8711
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/06 00:00:00",NSW1,170953.502710,150520.23151907,0.8805
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/06 00:00:00",QLD1,136844.97963801,115696.87781275,0.8455
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/06 00:00:00",SA1,27170.044223,19052.02583041,0.7012
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/06 00:00:00",TAS1,45098.843458,2191.86113760,0.0486
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/06 00:00:00",VIC1,140598.56308701,166100.60523821,1.1814
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/07 00:00:00",NEM,515238.35021199,446386.47841439,0.8664
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/07 00:00:00",NSW1,166919.691654,148386.66417649,0.8890
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/07 00:00:00",QLD1,136395.608089,113721.52560074,0.8338
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/07 00:00:00",SA1,28328.612729,16112.90434084,0.5688
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/07 00:00:00",TAS1,42925.529297,2053.91269111,0.0478
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/07 00:00:00",VIC1,140668.90844299,166111.47160521,1.1809
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/08 00:00:00",NEM,520140.000086,440791.90330095,0.8474
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/08 00:00:00",NSW1,168044.754020,150943.42995767,0.8982
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/08 00:00:00",QLD1,138226.88705199,113813.72236277,0.8234
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/08 00:00:00",SA1,31627.817255,14405.48391072,0.4555
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/08 00:00:00",TAS1,44538.075741,2089.08727572,0.0469
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/08 00:00:00",VIC1,137702.46601801,159540.17979407,1.1586
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/09 00:00:00",NEM,519991.26849202,433848.83410971,0.8343
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/09 00:00:00",NSW1,166900.229820,153562.17661118,0.9201
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/09 00:00:00",QLD1,137978.27750901,112465.51675875,0.8151
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/09 00:00:00",SA1,36626.720316,12293.57822550,0.3356
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/09 00:00:00",TAS1,43234.958506,2088.49231721,0.0483
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/09 00:00:00",VIC1,135251.08234101,153439.07019707,1.1345
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/10 00:00:00",NEM,475806.74260202,419367.74343939,0.8814
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/10 00:00:00",NSW1,153829.84948301,145047.72807559,0.9429
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/10 00:00:00",QLD1,134441.087797,108583.34715228,0.8077
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/10 00:00:00",SA1,24454.628105,14701.21336640,0.6012
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/10 00:00:00",TAS1,42926.301473,2089.58029477,0.0487
D,CO2EII,PUBLISHING,1,2014,19,"2014/05/10 00:00:00",VIC1,120154.87574401,148945.87455035,1.2396
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/11 00:00:00",NEM,452105.43607502,404273.85982828,0.8942
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/11 00:00:00",NSW1,140527.568233,133201.09535735,0.9479
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/11 00:00:00",QLD1,130516.29301001,106256.41293934,0.8141
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/11 00:00:00",SA1,22482.497066,16186.31132868,0.72
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/11 00:00:00",TAS1,42523.669332,2083.18640469,0.0490
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/11 00:00:00",VIC1,116055.40843401,146546.85379822,1.2627
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/12 00:00:00",NEM,506226.78987101,436336.46589269,0.8619
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/12 00:00:00",NSW1,172923.51480401,158806.11500999,0.9184
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/12 00:00:00",QLD1,137205.057876,112534.89132923,0.8202
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/12 00:00:00",SA1,28779.672629,17767.20188380,0.6174
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/12 00:00:00",TAS1,43863.293494,2081.29746119,0.0474
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/12 00:00:00",VIC1,123455.251068,145146.96020848,1.1757
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/13 00:00:00",NEM,510839.417723,437655.21629565,0.8567
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/13 00:00:00",NSW1,173802.110091,165133.30330143,0.9501
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/13 00:00:00",QLD1,141013.161766,115646.78253229,0.8201
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/13 00:00:00",SA1,35019.145820,19089.49522050,0.5451
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/13 00:00:00",TAS1,33112.419841,1981.10198638,0.0598
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/13 00:00:00",VIC1,127892.580205,135804.53325505,1.0619
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/14 00:00:00",NEM,505899.02171402,427984.36479179,0.8460
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/14 00:00:00",NSW1,182176.20288301,173175.72077742,0.9506
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/14 00:00:00",QLD1,137646.508284,113309.33335547,0.8232
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/14 00:00:00",SA1,37226.250253,17792.67972042,0.4780
D,CO2EII,PUBLISHING,1,2014,20,"2014/05/14 00:00:00",TAS1,27753.270587,1708.74058289,0.0616
