C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,05/01/2016,10:59:34,267518457,,267518454,
D,CO2EII,PUBLISHING,1,2015,31,29/07/2015 00:00,TAS1,37231.75769,2.44220077,0.0001
D,CO2EII,PUBLISHING,1,2015,31,29/07/2015 00:00,VIC1,149117.8257,184125.7593,1.2348
D,CO2EII,PUBLISHING,1,2015,31,30/07/2015 00:00,NEM,559464.8034,479128.1351,0.8564
D,CO2EII,PUBLISHING,1,2015,31,30/07/2015 00:00,NSW1,189858.5648,164338.6878,0.8656
D,CO2EII,PUBLISHING,1,2015,31,30/07/2015 00:00,QLD1,142507.496,127129.3141,0.8921
D,CO2EII,PUBLISHING,1,2015,31,30/07/2015 00:00,SA1,40163.14295,13543.22831,0.3372
D,CO2EII,PUBLISHING,1,2015,31,30/07/2015 00:00,TAS1,35735.26411,2.41718388,0.0001
D,CO2EII,PUBLISHING,1,2015,31,30/07/2015 00:00,VIC1,151200.3356,174114.4877,1.1515
D,CO2EII,PUBLISHING,1,2015,31,31/07/2015 00:00,NEM,539161.0387,488617.2747,0.9063
D,CO2EII,PUBLISHING,1,2015,31,31/07/2015 00:00,NSW1,183035.0691,162869.4095,0.8898
D,CO2EII,PUBLISHING,1,2015,31,31/07/2015 00:00,QLD1,141997.4274,127247.3682,0.8961
D,CO2EII,PUBLISHING,1,2015,31,31/07/2015 00:00,SA1,30168.21637,16277.13123,0.5395
D,CO2EII,PUBLISHING,1,2015,31,31/07/2015 00:00,TAS1,35564.77883,43.63519218,0.0012
D,CO2EII,PUBLISHING,1,2015,31,31/07/2015 00:00,VIC1,148395.547,182179.7306,1.2277
D,CO2EII,PUBLISHING,1,2015,31,01/08/2015 00:00,NEM,502092.7737,440716.3199,0.8778
D,CO2EII,PUBLISHING,1,2015,31,01/08/2015 00:00,NSW1,165803.58,145757.4653,0.8791
D,CO2EII,PUBLISHING,1,2015,31,01/08/2015 00:00,QLD1,136891.3296,122612.9492,0.8957
D,CO2EII,PUBLISHING,1,2015,31,01/08/2015 00:00,SA1,28201.77274,13381.19345,0.4745
D,CO2EII,PUBLISHING,1,2015,31,01/08/2015 00:00,TAS1,39278.83449,2.32354973,0.0001
