Id,Name,Registration date,Change Date
254,Qenergy Pty Ltd,2006-07-01,2011-05-27
255,QENERGY LIMITED,2011-05-27,2021-08-23
256,CONTACT AVALANCHE LIMITED,2004-01-16,2004-06-15
257,RED ENERGY LIMITED,2004-06-15,2005-07-08
258,RED ENERGY PTY. LIMITED,,
259,Energy Australia Pty Limited & I Power Pty Ltd,,
260,IPOWER 2 PTY LIMITED & IPOWER PTY LIMITED,,
261,Simply Energy,,
262,ENERGYAUSTRALIA PTY LIMITED,,
263,IPOWER 2 PTY LIMITED,,
264,SIMPLY ENERGY SOLUTIONS PTY LTD,,
265,SPARQ PTY LTD,2014-09-24,2017-10-26
266,SUMO POWER PTY LTD,2017-10-26,2020-11-24
267,Chow Tai Fook Enterprises (CTFE),1929-01-01,2020-11-24
268,PIONEER SAIL AUSTRALIA PTY LIMITED,2017-03-08,2021-08-23
269,STATE OF VICTORIA - PARLIAMENT OF VICTORIA,1999-11-01,2020-11-24
270,ACT Government (ACT GOVERNMENT EXECUTIVE UNIT),1999-11-01,2021-08-23
271,PUBLIC TRUSTEE FOR THE AUSTRALIAN CAPITAL TERRITORY,,
272,PUBLIC TRUSTEE AND GUARDIAN,2016-04-05,2021-08-23
273,NSW Government (THE LEGISLATURE NSW PARLIAMENT HOUSE),,
274,NSW Government (THE LEGISLATURE),,
275,DEPARTMENT OF PREMIER AND CABINET NSW,1999-11-01,2021-08-23
276,DEPARTMENT OF PREMIER AND CABINET VIC,1999-11-01,2020-11-24
277,ENVIRONMENT AUSTRALIA,,
279,DEPARTMENT OF THE ENVIRONMENT AND WATER RESOURCES,2007-03-08,2007-12-10
280,DEPARTMENT OF THE ENVIRONMENT WATER HERITAGE AND THE ARTS,2007-12-10,2010-09-14
281,DEPARTMENT OF SUSTAINABILITY ENVIRONMENT WATER POPULATION AND COMMUNITIES,2010-09-14,2013-09-27
282,DEPARTMENT OF THE ENVIRONMENT,,
284,DEPARTMENT OF THE ENVIRONMENT AND ENERGY,,
285,GOVERNOR OF SA,,
286,OSAKA GAS AUSTRALIA PTY LTD,,
287,OSAKA GAS ENERGY OCEANIA PTY LTD,,
289,APA group (Business name of AUSTRALIAN PIPELINE LIMITED),,
290,AUSTRALIAN PIPELINE TRUST,,
291,BHP LIMITED,,
292,BHP BILLITON LIMITED,,
294,BHP GROUP LIMITED,,
295,BHP FINANCE LIMITED,,
296,ESSO AUSTRALIA LTD (Exxon Mobil),,
297,ESSO AUSTRALIA PTY LTD (Exxon Mobil),,
298,MITSUI & CO LTD,1999-11-01,2020-11-24
299,MITSUI & CO. (AUSTRALIA) LTD.,,
