ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1955-06-01,8.250790752E7,31.080001831054688,0.0,142552.77588717305,610153.0,47.0
1,1955-07-01,8.400886139999999E7,31.080001831054688,0.0,145146.05735482936,612491.0,47.0
1,1955-08-01,8.264503674E7,31.080001831054688,0.0,142789.6771325644,614829.0,47.0
1,1955-09-01,7.753194291E7,31.080001831054688,0.0,133955.5711885773,617167.0,47.0
1,1955-10-01,8.045857016999997E7,31.080001831054688,0.0,139012.0296583039,619505.0,47.0
1,1955-11-01,7.808460468E7,31.080001831054688,0.0,134910.44064325883,621843.0,47.0
1,1955-12-01,7.732133298E7,31.080001831054688,0.0,133591.6784343143,624181.0,47.0
1,1956-01-01,8.921083239E7,33.31999969482422,0.0,154508.68983427406,626529.0,47.0
1,1956-02-01,9.681081048E7,33.31999969482422,0.0,167671.48309134995,628748.0,47.0
1,1956-03-01,9.105271179E7,33.31999969482422,0.0,157698.7525129973,630967.0,47.0
1,1956-04-01,8.54843307E7,33.31999969482422,0.0,148054.58098827978,633186.0,47.0
1,1956-05-01,9.18208347E7,33.31999969482422,0.0,159029.08867838397,635405.0,47.0
1,1956-06-01,9.37160076E7,33.31999969482422,0.0,162680.24984070018,637624.0,46.0
1,1956-07-01,9.624661325999999E7,33.31999969482422,0.0,167073.10931855917,639843.0,46.0
1,1956-08-01,9.306028949999999E7,33.31999969482422,0.0,161542.0041120788,642062.0,46.0
1,1956-09-01,8.740057974E7,33.31999969482422,0.0,151717.3907899726,644281.0,45.0
1,1956-10-01,8.959049967E7,33.31999969482422,0.0,155518.85486493155,646500.0,44.0
1,1956-11-01,8.821020705E7,33.31999969482422,0.0,153122.8137469036,648719.0,42.0
1,1956-12-01,8.839328691000003E7,33.31999969482422,0.0,153440.61940954876,650938.0,42.0
1,1957-01-01,9.64149537E7,30.940000534057617,0.0,169149.7004598289,653157.0,42.0
1,1957-02-01,1.0031840769000001E8,30.940000534057617,0.0,175997.89203000464,655973.0,42.0
