Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),System Production In Spot,System Production Off Spot,Number of Active Actors
1950-11-01,92.4199546673881,34.31999969482422,0.0,0.21621047565889298,482379.0,742356.0312254246,5925700.581149294,48.0
1950-12-01,91.90709750200702,34.31999969482422,0.0,0.2150106908828767,484549.0,806666.6053371953,6503104.334065049,48.0
1951-01-01,105.30924194259192,32.7599983215332,0.0,0.2582065612777476,486726.0,1238900.0381319076,6533072.278022123,48.0
1951-02-01,111.40479213824325,32.7599983215332,0.0,0.27315217814168324,489051.0,1119100.209966162,5538073.729103242,48.0
1951-03-01,105.40971615931588,32.7599983215332,0.0,0.25845291010492916,491376.0,1017737.2460756089,6056074.428052273,48.0
1951-04-01,104.23660240459306,32.7599983215332,0.0,0.24101807084202412,493701.0,700969.2611620266,6947660.619773871,48.0
1951-05-01,108.86941126826014,32.7599983215332,0.0,0.25173016407127924,496026.0,1105226.0470782435,6646945.289655613,48.0
1951-06-01,108.26416458981721,32.7599983215332,0.0,0.2503306760673257,498351.0,1473235.6992317296,6220108.613191163,48.0
1951-07-01,115.39514201799167,32.7599983215332,0.0,0.2668190748917262,500676.0,1599843.678195305,6080213.162580882,48.0
1951-08-01,109.46731312412898,32.7599983215332,0.0,0.2531126190442652,503001.0,1566242.2243667736,5927166.270395877,48.0
1951-09-01,100.80758046538274,32.7599983215332,0.0,0.23308938704910517,505326.0,1178831.7455474176,5673363.448608324,48.0
1951-10-01,102.149171194876,32.7599983215332,0.0,0.2361914578661196,507651.0,905466.6332229436,5962457.985030564,48.0
1951-11-01,96.91676207556826,32.7599983215332,0.0,0.22409297376360152,509976.0,801111.7821429084,5925700.581149294,48.0
1951-12-01,104.73621708722021,32.7599983215332,0.0,0.2421732882918893,512301.0,865306.154525353,6503104.334065049,48.0
1952-01-01,111.78893958170191,33.29999923706055,0.0,0.26104071163971715,514633.0,1058841.0049016937,7115207.280902122,48.0
1952-02-01,114.2385395580705,33.29999923706055,0.0,0.26676079733489305,516734.0,978497.6467277671,6275679.6596469255,48.0
1952-03-01,105.07916022193953,33.29999923706055,0.0,0.2453725804082794,518835.0,821418.5891010049,6632183.030932273,48.0
1952-04-01,103.50141530101587,33.29999923706055,0.0,0.2342066439969373,520936.0,557684.68796879,7505959.413693872,48.0
1952-05-01,109.42783893634676,33.29999923706055,0.0,0.2476171547108755,523037.0,928749.8364994125,7223053.892535614,48.0
1952-06-01,111.46377386753578,33.29999923706055,0.0,0.25222414909415003,525138.0,1293259.875615046,6777633.067591164,48.0
1952-07-01,113.52535033921997,33.29999923706055,0.0,0.25688915487300973,527239.0,1402035.3148741946,6656321.765460883,48.0
1952-08-01,111.35739198813617,33.29999923706055,0.0,0.25198341602917124,529340.0,1366751.048099663,6503274.873275876,48.0
1952-09-01,103.57301245575708,33.29999923706055,0.0,0.2343686343492224,531441.0,983666.6631433174,6230887.903008325,48.0
1952-10-01,102.1378705893819,33.29999923706055,0.0,0.23112115805085398,533542.0,714040.2232325292,6537792.248390565,48.0
1952-11-01,100.87780159779928,33.29999923706055,0.0,0.22826984136001266,535643.0,622825.4101814545,6483225.035549295,48.0
1952-12-01,100.4133123754054,33.29999923706055,0.0,0.2272187519767575,537744.0,698462.1852613309,7079212.936945049,48.0
1953-01-01,109.92689145833641,33.29999923706055,0.0,0.2551336432422579,539848.0,1152050.1642138462,7087485.840902123,48.0
1953-02-01,108.26494333748788,33.29999923706055,0.0,0.2512763436028554,542378.0,1028345.3839360194,6038834.366543242,48.0
1953-03-01,111.10700109009227,33.29999923706055,0.0,0.2578725751778218,544908.0,908241.5225187406,6610487.990932273,48.0
1953-04-01,103.34289567951073,33.29999923706055,0.0,0.22148947081362558,547438.0,620426.3220735575,7484935.053693873,48.0
1953-05-01,112.41264122412576,33.29999923706055,0.0,0.24092818157542983,549968.0,1014999.4491542535,7201358.852535613,48.0
1953-06-01,116.30508730348345,33.29999923706055,0.0,0.24927067306144776,552498.0,1391907.3857400087,6756637.867591165,47.0
1953-07-01,117.23739190860641,33.29999923706055,0.0,0.25126882402479433,555028.0,1508218.634521386,6634626.725460882,47.0
1953-08-01,117.2889888809774,33.29999923706055,0.0,0.25137943110051175,557558.0,1470560.6234088803,6481579.833275877,47.0
1953-09-01,105.21430477219651,33.29999923706055,0.0,0.2255003644779177,560088.0,1074302.8361470671,6209892.703008324,47.0
1953-10-01,105.362029332069,33.29999923706055,0.0,0.22581698464631594,562618.0,795332.0174935607,6516126.368390565,47.0
1953-11-01,109.41822706176082,33.29999923706055,0.0,0.2345104210655107,565148.0,697547.5843371196,6462229.835549294,47.0
1953-12-01,105.39383544676735,33.29999923706055,0.0,0.22588515267955736,567678.0,772311.8073014283,7057517.89694505,47.0
1954-01-01,131.57800848631737,33.29999923706055,0.0,0.27500994143588886,570212.0,1209694.105347852,7087485.840902123,47.0
1954-02-01,123.55861322100859,33.29999923706055,0.0,0.2582487100192048,572566.0,1082240.3326919572,6038834.366543242,47.0
1954-03-01,118.36856106066931,33.29999923706055,0.0,0.24740098567611135,574920.0,962990.8628045885,6610487.990932273,47.0
1954-04-01,115.69602075877313,33.29999923706055,0.0,0.24181514389776243,577274.0,660214.0392787989,7484935.053693873,47.0
1954-05-01,126.24258037051351,33.29999923706055,0.0,0.263858427688911,579628.0,1069641.4731076327,7201358.852535613,47.0
1954-06-01,130.4750941609878,33.29999923706055,0.0,0.23607492019180012,581982.0,1454641.359567633,6756637.867591165,49.0
1954-07-01,131.3093782943375,33.29999923706055,0.0,0.2375844128923469,584336.0,1575258.691759139,6634626.725460882,49.0
1954-08-01,129.30592337946786,33.29999923706055,0.0,0.23395949439459715,586690.0,1536011.8673559045,6481579.833275877,49.0
1954-09-01,116.2991166619132,33.29999923706055,0.0,0.21042564136919448,589044.0,1131034.1218168286,6209892.703008324,49.0
1954-10-01,113.63377803526559,33.29999923706055,0.0,0.20560309007761918,591398.0,846392.2128144985,6516126.368390565,49.0
1954-11-01,109.84634709651505,33.29999923706055,0.0,0.1987503333525589,593752.0,744494.4966046142,6462229.835549294,48.0
1954-12-01,114.07880897021671,33.29999923706055,0.0,0.2064083310356348,596106.0,818914.7182434443,7057517.89694505,47.0
1955-01-01,136.95351153705408,31.080001831054688,0.0,0.24777622566398855,598463.0,1301102.4764028254,7062817.776902122,47.0
1955-02-01,133.69218499553097,31.080001831054688,0.0,0.2418758777189185,600801.0,1168144.6182541025,6016553.534543242,47.0
1955-03-01,131.90491744025837,31.080001831054688,0.0,0.23864232583723205,603139.0,1051171.2609142372,6585819.9269322725,47.0
1955-04-01,124.7968672839761,31.080001831054688,0.0,0.22578247295810638,605477.0,725395.6347315382,7461029.577693873,48.0
1955-05-01,136.3264829759055,31.080001831054688,0.0,0.24664186201567156,607815.0,1157104.380638195,7176690.788535614,48.0
1955-06-01,135.22494562839157,31.080001831054688,0.0,0.23363447510243013,610153.0,1553698.9850603137,6732765.547591165,47.0
1955-07-01,137.1593368310718,31.080001831054688,0.0,0.23697663697071364,612491.0,1680348.1390754331,6609958.661460883,47.0
1955-08-01,134.41955253005307,31.080001831054688,0.0,0.23224291165928151,614829.0,1638971.4159881258,6456911.769275878,47.0
1955-09-01,125.62555242341215,31.080001831054688,0.0,0.21704914745697243,617167.0,1221443.3044040655,6186020.3830083255,47.0
1955-10-01,129.87557858693634,31.080001831054688,0.0,0.22439210282129102,619505.0,929238.2123262839,6491491.460390565,47.0
1955-11-01,125.56963986488552,31.080001831054688,0.0,0.2169525758805017,621843.0,820422.9238337784,6438357.515549296,47.0
1955-12-01,123.87646522002431,31.080001831054688,0.0,0.2140271466678965,624181.0,894313.9487345212,7032849.83294505,47.0
1956-01-01,142.3889970575983,33.31999969482422,0.0,0.2466105955738267,626529.0,1384591.9727853127,7062817.776902122,47.0
1956-02-01,153.97394902250187,33.31999969482422,0.0,0.2666751752551896,628748.0,1292988.3080249077,6232307.723646927,47.0
1956-03-01,144.30661340054235,33.31999969482422,0.0,0.24993185461838308,630967.0,1130130.392798019,6585819.9269322725,47.0
1956-04-01,135.00666174710116,33.31999969482422,0.0,0.2338247860633049,633186.0,783722.574344039,7461029.577693873,47.0
1956-05-01,144.50757538499067,33.31999969482422,0.0,0.25027988240316645,635405.0,1236670.0661667555,7176690.788535614,47.0
1956-06-01,146.9769140002572,33.31999969482422,0.0,0.2551350793582114,637624.0,1643912.6973793586,6732765.547591165,46.0
1956-07-01,150.42222760114592,33.31999969482422,0.0,0.26111578827706045,639843.0,1775148.0092507096,6609958.661460883,46.0
1956-08-01,144.93972398693583,33.31999969482422,0.0,0.2515987616648841,642062.0,1731681.3423148426,6456911.769275878,46.0
1956-09-01,135.6559919119142,33.31999969482422,0.0,0.2354832608597376,644281.0,1302266.2394922972,6186020.3830083255,45.0
1956-10-01,138.57772621809744,33.31999969482422,0.0,0.24055507326362188,646500.0,1002884.153531944,6491491.460390565,44.0
1956-11-01,135.97599413228224,33.31999969482422,0.0,0.23603873749173923,648719.0,888117.5500050349,6438357.515549296,42.0
1956-12-01,135.79371470477986,33.31999969482422,0.0,0.23572232595047263,650938.0,962259.5714267986,7032849.83294505,42.0
1957-01-01,147.6137484938537,30.940000534057617,0.0,0.25897249889357216,653157.0,1469558.5830519716,7053202.320902123,42.0
1957-02-01,152.93069417491267,30.940000534057617,0.0,0.26830051241439,655973.0,1325602.595581494,6005570.366543243,42.0
1957-03-01,147.51202110994566,30.940000534057617,0.0,0.25879402397319073,658789.0,1212294.990240934,6573659.990932273,42.0
