Time (Month),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2000-12-01,0.5758471033717646,50.0,3.376179756612947E8,1946073.0
2001-01-01,0.6086804947974529,50.0,3.6011373595678544E8,1948757.0
2001-02-01,0.5804864324986638,50.0,3.4637705038613313E8,1951391.0
2001-03-01,0.6026504906539066,50.0,3.627928893600698E8,1954025.0
2001-04-01,0.565148807227013,50.0,3.4303599431006455E8,1956659.0
2001-05-01,0.6228908208215923,50.0,3.814929857363113E8,1959293.0
2001-06-01,0.6167961397136591,50.0,3.8110129914732337E8,1961927.0
2001-07-01,0.6455554828788722,50.0,4.0253035091530263E8,1964561.0
2001-08-01,0.648327695017525,50.0,4.079519995528846E8,1967195.0
2001-09-01,0.5858007852458259,50.0,3.71644934336107E8,1969829.0
2001-10-01,0.5956452668567167,50.0,3.8103763656865925E8,1972463.0
2001-11-01,0.5650912334938487,50.0,3.643333245031515E8,1975097.0
2001-12-01,0.5498378571201038,50.0,3.5720597704502326E8,1977731.0
2002-01-01,0.5713903030437685,50.0,3.741250183298717E8,1980374.0
2002-02-01,0.5438012222746674,50.0,3.5869599725574255E8,1983024.0
2002-03-01,0.582422076836379,50.0,3.872023452542643E8,1985674.0
2002-04-01,0.5637425666038332,50.0,3.776298031796907E8,1988324.0
2002-05-01,0.616895172915367,50.0,4.166289745395829E8,1990974.0
2002-06-01,0.6199806859267344,50.0,4.2213584096737146E8,1993624.0
2002-07-01,0.6550618802829672,50.0,4.4983924102043045E8,1996274.0
2002-08-01,0.6433720716745609,50.0,4.4550477361588734E8,1998924.0
2002-09-01,0.5929602777614018,50.0,4.137511407711998E8,2001574.0
2002-10-01,0.597597187240548,50.0,4.201997282943448E8,2004224.0
2002-11-01,0.5728814439770509,50.0,4.0578075206554705E8,2006874.0
2002-12-01,0.5840208303060824,50.0,4.167531197205938E8,2009524.0
2003-01-01,0.5968139514426898,50.0,4.290994871553473E8,2012179.0
2003-02-01,0.5588257336620965,50.0,4.0460391888470834E8,2014824.0
2003-03-01,0.5916232170110173,50.0,4.315198708249073E8,2017469.0
2003-04-01,0.5657036558332846,50.0,4.1552128293523544E8,2020114.0
2003-05-01,0.6179575149585295,50.0,4.5735820160552496E8,2022759.0
2003-06-01,0.6184184118328985,50.0,4.611552494838168E8,2025404.0
2003-07-01,0.653350892902489,50.0,4.910576081790406E8,2028049.0
2003-08-01,0.6442765995270583,50.0,4.879916884088116E8,2030694.0
2003-09-01,0.5992210964330099,50.0,4.571286582487752E8,2033339.0
2003-10-01,0.6084554200818867,50.0,4.6754537972569746E8,2035984.0
2003-11-01,0.5638351804080095,50.0,4.361691247167944E8,2038629.0
2003-12-01,0.5915537306603621,50.0,4.6081390285550255E8,2041274.0
2004-01-01,0.5707008734682015,50.0,4.475634405430177E8,2043921.0
2004-02-01,0.5748762222034378,50.0,4.538617169274695E8,2046611.0
2004-03-01,0.6012580021187712,50.0,4.7800519461227816E8,2049301.0
2004-04-01,0.5682757624180613,50.0,4.547564269816289E8,2051991.0
2004-05-01,0.6268348347018345,50.0,5.052178199542598E8,2054681.0
2004-06-01,0.6304773786546034,50.0,5.117890408217043E8,2057371.0
2004-07-01,0.6572908520670019,50.0,5.375064379692346E8,2060061.0
2004-08-01,0.6457317194368104,50.0,5.318786850401706E8,2062751.0
2004-09-01,0.5991700440729123,50.0,4.9683647757474196E8,2065441.0
