ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2011-03-01,1274956.6679999998,80.70687103271484,770185.8067688751,2317429.0
1,2011-04-01,1194330.1304999997,80.75350189208984,845403.1996761579,2320502.0
1,2011-05-01,1350445.356,80.72881317138672,1333851.9521338935,2323575.0
1,2011-06-01,1354412.25,80.43183135986328,1325181.6413286147,2326648.0
1,2011-07-01,1403322.4454999994,94.28366088867188,1465020.5254702878,2329721.0
1,2011-08-01,1346260.3260000001,79.80841064453125,1227457.3435983462,2332794.0
1,2011-09-01,1270011.4260000002,79.57534790039062,984141.8577066836,2335867.0
1,2011-10-01,1277790.9434999998,79.46314239501953,791864.4106478016,2338940.0
1,2011-11-01,1238659.8825000003,79.46550750732422,697206.7752476002,2342013.0
1,2011-12-01,1259844.423,56.21239471435547,258733.50432454035,2345086.0
1,2012-01-01,1327555.6515000002,56.28519821166992,442603.01159973245,2348162.0
1,2012-02-01,1265224.0335000001,79.73072052001953,666650.0442425053,2351241.0
1,2012-03-01,1258861.4625,79.77422332763672,905254.3868164486,2354320.0
1,2012-04-01,1194693.8939999999,79.7064208984375,956134.5621896134,2357399.0
1,2012-05-01,1353843.2115,79.59759521484375,1344078.4189639627,2360478.0
1,2012-06-01,1346206.7385000002,94.60494995117188,1413816.7926442157,2363557.0
1,2012-07-01,1377130.881,79.03447723388672,1395452.0511311912,2366636.0
1,2012-08-01,1370228.6205,78.76256561279297,1238707.5834363094,2369715.0
1,2012-09-01,1230407.1779999996,78.57368469238281,905059.767135957,2372794.0
1,2012-10-01,1268098.905,78.51817321777344,754273.134859003,2375873.0
1,2012-11-01,1236299.376,78.5513916015625,582391.1355793437,2378952.0
1,2012-12-01,1253671.983,55.48759841918945,286264.0234150197,2382031.0
1,2013-01-01,1304459.2559999996,55.55078887939453,202390.52713358193,2385121.0
1,2013-02-01,1246662.2219999998,55.651634216308594,468674.6955329423,2388208.0
1,2013-03-01,1344928.209,78.98270416259766,789586.6792607635,2391295.0
1,2013-04-01,1205613.372,79.02140045166016,997693.5211992823,2394382.0
1,2013-05-01,1336525.326,78.91681671142578,1300999.904319868,2397469.0
1,2013-06-01,1321669.872,78.69827270507812,1360207.3211899246,2400556.0
1,2013-07-01,1376182.7085,78.43815612792969,1368082.1411079392,2403643.0
1,2013-08-01,1368805.0755,78.21221160888672,1243847.4661755844,2406730.0
1,2013-09-01,1222995.6509999998,78.05242156982422,923928.4037651458,2409817.0
1,2013-10-01,1274746.4684999997,78.0046157836914,844243.1322512344,2412904.0
1,2013-11-01,1208977.5629999998,78.0098648071289,599477.2051520115,2415991.0
1,2013-12-01,1223875.7759999998,55.00081253051758,412945.92141981045,2419078.0
1,2014-01-01,1355026.6725,55.00967025756836,457391.3605049319,2422176.0
1,2014-02-01,1220999.079,54.999759674072266,520319.8074423874,2425272.0
1,2014-03-01,1256194.236,78.41658782958984,845505.1007402329,2428368.0
1,2014-04-01,1187144.4075,78.39288330078125,1049688.339532324,2431464.0
1,2014-05-01,1277573.487,78.25231170654297,1232817.129093232,2434560.0
1,2014-06-01,1305031.998,98.36804962158203,1351209.148881482,2437656.0
1,2014-07-01,1393458.3690000002,97.10933685302734,1382958.1963261578,2440752.0
1,2014-08-01,1283283.0720000002,77.55645751953125,1123501.3334307584,2443848.0
1,2014-09-01,1181771.6715,77.4076156616211,789818.028510793,2446944.0
1,2014-10-01,1203198.7364999999,77.41094207763672,632992.1323896446,2450040.0
1,2014-11-01,1144771.581,54.47764205932617,351884.4600508709,2453136.0
1,2014-12-01,1173592.4819999998,54.506500244140625,175592.60197032292,2456232.0
1,2015-01-01,1235864.8365000002,54.608158111572266,275815.22666744154,2459337.0
1,2015-02-01,1166551.5045,54.67668533325195,535770.607365164,2462443.0
1,2015-03-01,1192695.555,77.8961181640625,679075.3755963327,2465549.0
1,2015-04-01,1157534.4315,77.95905303955078,926599.9419851084,2468655.0
