year,region,lga_code,lga_name,vifsa_district,couple_with_children,couple_without_children,one_parent_family,other_family,group_household,lone_person,all_household_types
2016,31 Metropolitan LGAs,20660,Banyule (C),,17391,12524,5297,689,1654,11999,49555
2016,48 Regional LGAs,20740,Bass Coast (S),,3207,4899,1603,102,418,5184,15412
2016,48 Regional LGAs,20830,Baw Baw (S),,5846,6246,2145,142,467,5152,19997
2016,31 Metropolitan LGAs,20910,Bayside (C),,14976,10339,3500,326,895,10048,40084
2016,48 Regional LGAs,21010,Benalla (RC),,1328,2081,653,46,184,2095,6387
2016,31 Metropolitan LGAs,21110,Boroondara (C),,24277,16369,5571,1097,3735,16862,67911
2016,31 Metropolitan LGAs,21180,Brimbank (C),,27090,14770,10502,1365,2357,12906,68989
2016,48 Regional LGAs,21270,Buloke (S),,634,909,206,22,88,969,2827
2016,48 Regional LGAs,21370,Campaspe (S),,4220,4974,1611,104,378,4482,15770
2016,31 Metropolitan LGAs,21450,Cardinia (S),,13915,8828,4315,304,799,6545,34706
2016,31 Metropolitan LGAs,21610,Casey (C),,47468,22412,12394,1151,2380,15916,101720
2016,48 Regional LGAs,21670,Central Goldfields (S),,1190,1775,700,31,206,2145,6047
2016,48 Regional LGAs,21750,Colac-Otway (S),,2273,2684,924,93,309,3021,9303
2016,48 Regional LGAs,21830,Corangamite (S),,1863,2119,622,49,142,2111,6905
2016,31 Metropolitan LGAs,21890,Darebin (C),,17828,14696,5999,1156,5337,17762,62778
2016,48 Regional LGAs,22110,East Gippsland (S),,4442,7110,1948,114,542,6473,20630
2016,31 Metropolitan LGAs,22170,Frankston (C),,17155,13119,7863,682,1921,15195,55935
2016,48 Regional LGAs,22250,Gannawarra (S),,1115,1576,350,28,109,1562,4740
2016,31 Metropolitan LGAs,22310,Glen Eira (C),,19936,14321,4818,784,3453,15644,58956
2016,48 Regional LGAs,22410,Glenelg (S),,2090,2695,894,68,231,2867,8844
2016,48 Regional LGAs,22490,Golden Plains (S),,3258,2420,696,50,89,1430,7943
2016,48 Regional LGAs,22620,Greater Bendigo (C),,12690,12500,5662,477,1929,13215,46474
2016,31 Metropolitan LGAs,22670,Greater Dandenong (C),,20300,11385,7346,1149,2604,11587,54371
2016,48 Regional LGAs,22750,Greater Geelong (C),,27876,26220,11370,954,3698,27546,97663
2016,48 Regional LGAs,22830,Greater Shepparton (C),,7647,6948,3042,236,806,7178,25857
2016,48 Regional LGAs,22910,Hepburn (S),,1610,2218,652,27,183,2286,6977
2016,48 Regional LGAs,22980,Hindmarsh (S),,615,861,182,22,62,868,2610
